timestamp,sn,text,EST
2019-05-23 03:59:58,MrUNotReady,Yeaaaaah!!! @RachelEReilly...You Are Teaching Your Daughter To Be Fierce And Take Risk @AmazingRaceCBS ❤😘#AmazingRace,2019-05-22 22:59:58
2019-05-23 03:59:49,kevintoy888,"Why do these reality shows keep saving the Reilly sisters?  Eliminate them when you can, Phil!  #AmazingRace",2019-05-22 22:59:49
2019-05-23 03:59:06,Pinkjellybean3,RT @AmazingRaceCBS: Dubai. Dinosaurs. Glowing eggs. Tomorrow's #AmazingRace is going to be good. 🏃🏽 https://t.co/blfAheTzv2,2019-05-22 22:59:06
2019-05-23 03:58:49,iowanliveintexa,"RT @PhilKeoghan: A picture says 1,000 words ... This in the middle of the night tired eyes shot explains what happens when you shoot #12Sho…",2019-05-22 22:58:49
2019-05-23 03:58:34,Loveleelee_xoxo,"RT @Space_Nerd_at_C: Hey Phil, put US out of our misery and send Rachel and Elissa home #AmazingRace https://t.co/XVv7yVpPbX",2019-05-22 22:58:34
2019-05-23 03:58:24,Loveleelee_xoxo,RT @DrkLovely1: I 💛 TEAM FUN!!  #AmazingRace https://t.co/7ykAdewYdX,2019-05-22 22:58:24
2019-05-23 03:58:22,abdulmannanbutt,A memorable group foto with Ceo. perennial_clothing #exceptional #suiting #class #suitup #amazingrace #graceful… https://t.co/dCxdTM8SJR,2019-05-22 22:58:22
2019-05-23 03:58:08,Loveleelee_xoxo,RT @FightYouForIt1: Corrine and Eliza after seeing the Reilly sisters survive another week.. #AmazingRace https://t.co/R07Gw2CMGh,2019-05-22 22:58:08
2019-05-23 03:57:56,Loveleelee_xoxo,RT @nyngaile: Phil NOOOOO why a non elimination leg send them home!  #AmazingRace https://t.co/GWFCI3k7Kj,2019-05-22 22:57:56
2019-05-23 03:57:55,d0nnieeeee,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:57:55
2019-05-23 03:57:37,JayBarnes77,"Rachel and Elissa finish last
*Non-Elimination Leg*
Me: FUUUUUUUUUUUUUU
#AmazingRace",2019-05-22 22:57:37
2019-05-23 03:57:21,maddiea_xo,RT @SrslyChris: Elissa getting fed up with Rachel’s sentimental crying is everything. #AmazingRace,2019-05-22 22:57:21
2019-05-23 03:57:20,richksu,Rachel does everything good- #TAR #AmazingRace,2019-05-22 22:57:20
2019-05-23 03:57:11,iowanliveintexa,RT @PhilKeoghan: Don't go anywhere ... brace yourself for a dramatic #Head2Head returning to #AmazingRace ... now #TheWorldisWaitingForYou…,2019-05-22 22:57:11
2019-05-23 03:57:09,Luvzparanoid,RT @CalebWH25: I love Rachel and Elissa’s dynamic! #AmazingRace,2019-05-22 22:57:09
2019-05-23 03:56:27,ShawnReynolds_,Phil waiting for the last team to arrive #AmazingRace https://t.co/BFoUSXEYuV,2019-05-22 22:56:27
2019-05-23 03:56:26,cindraloo,RT @chrisrhahn: Excited for a double dose of #AmazingRace.,2019-05-22 22:56:26
2019-05-23 03:56:18,jordychamberlin,RT @SrslyChris: Elissa getting fed up with Rachel’s sentimental crying is everything. #AmazingRace,2019-05-22 22:56:18
2019-05-23 03:55:49,Luvzparanoid,RT @Steffiesays1: Elissa's face while Rachel is crying #AmazingRace https://t.co/4NSgC13zMO,2019-05-22 22:55:49
2019-05-23 03:55:37,ashrose31,Team fun is the best team coming from the blind date season and they are even better this season! On the… https://t.co/8wM79k0k4z,2019-05-22 22:55:37
2019-05-23 03:55:03,kailakay_17,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:55:03
2019-05-23 03:54:34,marie81411,@tjlavin #MTVChallenge and @PhilKeoghan from #AmazingRace have the greatest jobs. They come in tell the players the… https://t.co/ogOlYKadkY,2019-05-22 22:54:34
2019-05-23 03:54:22,SanJoYouKnow,"“Rach, please stop.” @ElissaReillyS saying what every #AmazingRace fan has wanted to say for THREE SEASONS.",2019-05-22 22:54:22
2019-05-23 03:54:21,sjn1922,@AmazingRaceCBS Rach!!! THERE IS NO CRYING IN THE AMAZING RACE!!!! 😭😭😭😭😭😭 #AmazingRace,2019-05-22 22:54:21
2019-05-23 03:54:19,cindraloo,#AmazingRace,2019-05-22 22:54:19
2019-05-23 03:53:36,Phil_okk,#Uganda thru #AmazingRace ✌'s eyes 👀  #Dubai too... 👍💪 https://t.co/L51i9Lavs6,2019-05-22 22:53:36
2019-05-23 03:53:14,rayraycja,Who knew that @PhilKeoghan had such a sick flow? #AmazingRace,2019-05-22 22:53:14
2019-05-23 03:52:38,geenahd,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:52:38
2019-05-23 03:52:29,sjn1922,@AmazingRaceCBS This is what Team Fun is all about!!! Rap Time!!! Team Fun #1!!! #AmazingRace,2019-05-22 22:52:29
2019-05-23 03:51:59,KiranSanthanam,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:51:59
2019-05-23 03:51:18,janet_rooker,RT @patcariaga: Not much else you can do when your partner is doing the #Roadblock. #AmazingRace https://t.co/ZQ0fbQX5mJ,2019-05-22 22:51:18
2019-05-23 03:49:54,alissaMlewis,I thought #AmazingRace was #AmazingGrace trending... again... https://t.co/r41nOiYGT3,2019-05-22 22:49:54
2019-05-23 03:49:48,sjn1922,"@AmazingRaceCBS The Afghanimals 1st time to the beat, HELL YES!!!! #AmazingRace",2019-05-22 22:49:48
2019-05-23 03:48:15,belrosegnr,"@RachelEReilly @ElissaReillyS @AmazingRaceCBS So glad you got to stay, but so sad @JanellePierzina and… https://t.co/ek6ri58R96",2019-05-22 22:48:15
2019-05-23 03:47:46,Alicestar13,"RT @AmazingRaceCBS: So close, yet so far away. #AmazingRace https://t.co/KSVy9eWqYM",2019-05-22 22:47:46
2019-05-23 03:47:09,Alicestar13,"RT @AmazingRaceCBS: $1 million is still up for grabs, and the remaining teams are giving it their all. The #AmazingRace returns tonight at…",2019-05-22 22:47:09
